epoch:1,val loss:0.2361100748905046,val_acc:0.9250597133757962
epoch:2,val loss:0.1502118186526902,val_acc:0.9524283439490446
epoch:3,val loss:0.13075266876346936,val_acc:0.9596934713375797
epoch:4,val loss:0.1144429890017743,val_acc:0.9648686305732485
epoch:5,val loss:0.10920508074274607,val_acc:0.9684514331210191
epoch:6,val loss:0.0956302585093613,val_acc:0.9699442675159236
epoch:7,val loss:0.11107883349529639,val_acc:0.9658638535031847
epoch:8,val loss:0.08400241350962716,val_acc:0.9743232484076433
epoch:9,val loss:0.09720316069136867,val_acc:0.9699442675159236
epoch:10,val loss:0.09124003301276737,val_acc:0.971437101910828

kan_epoch:1,val loss:0.24431372120098513,val_acc:0.931827229299363
kan_epoch:2,val loss:0.16955242340399582,val_acc:0.9519307324840764
kan_epoch:3,val loss:0.13402656277131503,val_acc:0.9605891719745223
kan_epoch:4,val loss:0.12808708189749365,val_acc:0.9624800955414012
kan_epoch:5,val loss:0.10643436287227236,val_acc:0.9680533439490446
kan_epoch:6,val loss:0.10568075133991801,val_acc:0.9695461783439491
kan_epoch:7,val loss:0.09469940779051465,val_acc:0.9713375796178344
kan_epoch:8,val loss:0.09490696885356098,val_acc:0.9697452229299363
kan_epoch:9,val loss:0.08841068127821348,val_acc:0.9732285031847133
kan_epoch:10,val loss:0.08922663183158389,val_acc:0.9717356687898089

res_epoch:1,val loss:0.09240075073035872,val_acc:0.9718351910828026
res_epoch:2,val loss:0.05461838170919407,val_acc:0.9838773885350318
res_epoch:3,val loss:0.0738490647614109,val_acc:0.9789012738853503

vis_epoch:1,val loss:0.2052112434972908,val_acc:0.9409832802547771
vis_epoch:2,val loss:0.17412409855491795,val_acc:0.9496417197452229
vis_epoch:3,val loss:0.15138080589188513,val_acc:0.9573049363057324
vis_epoch:4,val loss:0.12877129595637749,val_acc:0.9619824840764332
vis_epoch:5,val loss:0.1316195404495166,val_acc:0.9590963375796179
vis_epoch:6,val loss:0.1197471343422795,val_acc:0.9646695859872612
vis_epoch:7,val loss:0.13999433293464078,val_acc:0.9582006369426752
vis_epoch:8,val loss:0.12546628355760436,val_acc:0.9640724522292994
vis_epoch:9,val loss:0.11445774047362624,val_acc:0.9645700636942676
vis_epoch:10,val loss:0.09968196148657875,val_acc:0.9704418789808917

cnn_epoch:1,val loss:0.13986838883927957,val_acc:0.9583001592356688
cnn_epoch:2,val loss:0.09315794523046085,val_acc:0.9703423566878981
cnn_epoch:3,val loss:0.08071085116840827,val_acc:0.9746218152866242
cnn_epoch:4,val loss:0.07987762308623167,val_acc:0.9756170382165605
cnn_epoch:5,val loss:0.06590926533477429,val_acc:0.9791003184713376
cnn_epoch:6,val loss:0.06768246599811183,val_acc:0.980593152866242
cnn_epoch:7,val loss:0.058744324317089265,val_acc:0.9819864649681529
cnn_epoch:8,val loss:0.06257549671891477,val_acc:0.9812898089171974
cnn_epoch:10,val loss:0.05761273547278118,val_acc:0.9827826433121019

kan_cnn_epoch:1,val loss:0.07172735648157051,val_acc:0.977906050955414
